Date,Division,District/City,No. of confirmed cases,Total Death,Total Recover
12.04.2020,Dhaka,Dhaka City,313,,
12.04.2020,Dhaka,Dhaka (District),22,,
12.04.2020,Dhaka,Gazipur,23,,
12.04.2020,Dhaka,Kishoreganj,10,,
12.04.2020,Dhaka,Madaripur,19,,
12.04.2020,Dhaka,Manikganj,5,,
12.04.2020,Dhaka,Narayanganj,107,,
12.04.2020,Dhaka,Munshigonj,14,,
12.04.2020,Dhaka,Narshingdi,4,,
12.04.2020,Dhaka,Rajbari,6,,
12.04.2020,Dhaka,Tangail,2,,
12.04.2020,Dhaka,Shariatpur,1,,
12.04.2020,Dhaka,Gopalganj,3,,
12.04.2020,Chattogram,Chattogram,12,,
12.04.2020,Chattogram,Cox’s bazar,1,,
12.04.2020,Chattogram,Cumilla,9,,
12.04.2020,Chattogram,B. Baria,6,,
12.04.2020,Chattogram,Laksmipur,1,,
12.04.2020,Chattogram,Chandpur,6,,
12.04.2020,Sylhet,Moulovi Bazar,1,,
12.04.2020,Sylhet,Hobiganj,1,,
12.04.2020,Sylhet,Sylhet,1,,
12.04.2020,Rangpur,Rangpur,2,,
12.04.2020,Rangpur,Gaibandha,6,,
12.04.2020,Rangpur,Nilphamari,3,,
12.04.2020,Rangpur,Lalmonirhat,1,,
12.04.2020,Rangpur,Thakurgaon,3,,
12.04.2020,Khulna,Chuadanga,1,,
12.04.2020,Mymensingh,Mymensingh,5,,
12.04.2020,Mymensingh,Jamalpur,6,,
12.04.2020,Mymensingh,Netrokona,1,,
12.04.2020,Mymensingh,Sherpur,2,,
12.04.2020,Barishal,Barguna,3,,
12.04.2020,Barishal,Potuakhali,1,,
12.04.2020,Barishal,Jhalokathi,3,,
10.04.2020,Dhaka,Dhaka City,237,,
10.04.2020,Dhaka,Dhaka (District),16,,
10.04.2020,Dhaka,Gazipur,6,,
10.04.2020,Dhaka,Kishoreganj,7,,
10.04.2020,Dhaka,Madaripur,13,,
10.04.2020,Dhaka,Manikganj,3,,
10.04.2020,Dhaka,Dhaka (District),1,,
10.04.2020,Dhaka,Narayanganj,75,,
10.04.2020,Dhaka,Munshigonj,8,,
10.04.2020,Dhaka,Narshingdi,4,,
10.04.2020,Dhaka,Rajbari,1,,
10.04.2020,Dhaka,Tangail,2,,
10.04.2020,Dhaka,Shariatpur,1,,
10.04.2020,Dhaka,Gopalganj,2,,
10.04.2020,Chattogram,Chattogram,6,,
10.04.2020,Chattogram,Cox’s bazar,1,,
10.04.2020,Chattogram,Cumilla,5,,
10.04.2020,Chattogram,Chandpur,2,,
10.04.2020,Sylhet,Moulovi Bazar,1,,
10.04.2020,Sylhet,Sylhet,1,,
10.04.2020,Sylhet,Rangpur,2,,
10.04.2020,Rangpur,Gaibandha,5,,
10.04.2020,Rangpur,Nilphamari,2,,
10.04.2020,Khulna,Chuadanga,1,,
10.04.2020,Mymensingh,Mymensingh,5,,
10.04.2020,Mymensingh,Jamalpur,3,,
10.04.2020,Mymensingh,Sherpur,2,,
10.04.2020,Barishal,Potuakhali,1,,
13.04.2020,Dhaka,Dhaka (District),24,,
13.04.2020,Dhaka,Gazipur,35,,
13.04.2020,Dhaka,Kishoreganj,10,,
13.04.2020,Dhaka,Madaripur,19,,
13.04.2020,Dhaka,Manikganj,5,,
13.04.2020,Dhaka,Narayanganj,144,,
13.04.2020,Dhaka,Munshigonj,17,,
13.04.2020,Dhaka,Narshingdi,20,,
13.04.2020,Dhaka,Rajbari,6,,
13.04.2020,Dhaka,Tangail,7,,
13.04.2020,Dhaka,Shariatpur,1,,
13.04.2020,Dhaka,Gopalganj,3,,
13.04.2020,Chattogram,Chattogram,18,,
13.04.2020,Chattogram,Cox’s bazar,1,,
13.04.2020,Chattogram,Cumilla,9,,
13.04.2020,Chattogram,B. Baria,6,,
13.04.2020,Chattogram,Laksmipur,1,,
13.04.2020,Chattogram,Chandpur,6,,
13.04.2020,Sylhet,Moulovi Bazar,1,,
13.04.2020,Sylhet,Sunamganj,1,,
13.04.2020,Sylhet,Hobiganj,1,,
13.04.2020,Sylhet,Sylhet,1,,
13.04.2020,Rangpur,Rangpur,2,,
13.04.2020,Rangpur,Gaibandha,6,,
13.04.2020,Rangpur,Nilphamari,3,,
13.04.2020,Rangpur,Lalmonirhat,1,,
