Date,Location,Confirmed Case
12.04.2020,Mirpur-12,8
12.04.2020,Hazaribagh,8
12.04.2020,Mohakhali,7
12.04.2020,Shantinagar,5
12.04.2020,Wari,16
12.04.2020,Lalbagh,13
12.04.2020,Mirpur-11,10
12.04.2020,Mogbazar,4
12.04.2020,Mohammadpur,12
12.04.2020,Uttara,17
12.04.2020,Jailgate,2
12.04.2020,Sutrapur,2
12.04.2020,Babu Bazar,3
12.04.2020,Badda,4
12.04.2020,Bashundhora,4
12.04.2020,Chawk Bazar,4
12.04.2020,Gendaria,3
12.04.2020,Mirpur-6,2
12.04.2020,Mirpur-10,5
12.04.2020,Narinda,2
12.04.2020,Rajarbagh,2
12.04.2020,Tejgaon,3
12.04.2020,Kamrangir Char,1
12.04.2020,Kodomtoli,1
12.04.2020,Nawabpur,1
12.04.2020,Rayerbazar,1
12.04.2020,Sayedabad,1
12.04.2020,Siddheshwari,1
12.04.2020,Farmgate,1
12.04.2020,Adabor,1
12.04.2020,Agargaon,2
12.04.2020,Ashkona,1
12.04.2020,Azimpur,2
12.04.2020,Baily Road,3
12.04.2020,Banani,7
12.04.2020,Bangshal,7
12.04.2020,Basabo,12
12.04.2020,Begunbari,1
12.04.2020,Beribadh,1
12.04.2020,Bosila,1
12.04.2020,Buet Area,1
12.04.2020,Central Road,1
12.04.2020,Dhakkeshori,1
12.04.2020,Dhanmondi,14
12.04.2020,Dholaikhal,1
12.04.2020,Doyaganj,1
12.04.2020,Eskaton,1
12.04.2020,Green Road,5
12.04.2020,Gulistan,2
12.04.2020,Gulshan,4
12.04.2020,Hatir jhil,1
12.04.2020,Hatirpool,2
12.04.2020,Islampur,2
12.04.2020,Jatrabari,11
12.04.2020,Jigatala,3
12.04.2020,Kazi para,1
12.04.2020,Kotowali,2
12.04.2020,Laxmibazar,2
12.04.2020,Malibagh,2
12.04.2020,Manikdi,1
12.04.2020,Mirhajaribagh,2
12.04.2020,Mirpur-1,5
12.04.2020,Mirpur-13,2
12.04.2020,Mitford,1
12.04.2020,Mugda,1
12.04.2020,Nikunja,1
12.04.2020,Pirerbagh,2
12.04.2020,Purana Paltan,2
12.04.2020,Rampura,1
12.04.2020,Shah Ali Bagh,2
12.04.2020,Shahbag,2
12.04.2020,Showari Ghat,3
12.04.2020,Sonir akhra,1
12.04.2020,Tolarbag,19
12.04.2020,Urdu Road,1
10.04.2020,Mirpur-12,2
10.04.2020,Hazaribagh,3
10.04.2020,Mohakhali,3
10.04.2020,Shantinagar,2
10.04.2020,Wari,13
10.04.2020,Lalbagh,11
10.04.2020,Mirpur-11,8
10.04.2020,Mogbazar,2
10.04.2020,Mohammadpur,10
10.04.2020,Uttara,15
10.04.2020,Babu Bazar,2
10.04.2020,Badda,3
10.04.2020,Bashundhora,3
10.04.2020,Chawk Bazar,3
10.04.2020,Gendaria,2
10.04.2020,Mirpur-6,1
10.04.2020,Mirpur-10,4
10.04.2020,Narinda,1
10.04.2020,Rajarbagh,1
10.04.2020,Tejgaon,2
10.04.2020,Adabor,1
10.04.2020,Agargaon,2
10.04.2020,Ashkona,1
10.04.2020,Azimpur,2
10.04.2020,Baily Road,3
10.04.2020,Banani,7
10.04.2020,Bangshal,7
10.04.2020,Basabo,12
10.04.2020,Begunbari,1
10.04.2020,Beribadh,1
10.04.2020,Bosila,1
10.04.2020,Buet Area,1
10.04.2020,Central Road,1
10.04.2020,Dhakkeshori,1
10.04.2020,Dhanmondi,14
10.04.2020,Dholaikhal,1
10.04.2020,Doyaganj,1
10.04.2020,Eskaton,1
10.04.2020,Green Road,5
10.04.2020,Gulistan,2
10.04.2020,Gulshan,4
10.04.2020,Hatir jhil,1
10.04.2020,Hatirpool,2
10.04.2020,Islampur,2
10.04.2020,Jatrabari,11
10.04.2020,Jigatala,3
10.04.2020,Kazi para,1
10.04.2020,Kotowali,2
10.04.2020,Laxmibazar,2
10.04.2020,Malibagh,2
10.04.2020,Manikdi,1
10.04.2020,Mirhajaribagh,2
10.04.2020,Mirpur-1,5
10.04.2020,Mirpur-13,2
10.04.2020,Mitford,1
10.04.2020,Mugda,1
10.04.2020,Nikunja,1
10.04.2020,Pirerbagh,2
10.04.2020,Purana Paltan,2
10.04.2020,Rampura,1
10.04.2020,Shah Ali Bagh,2
10.04.2020,Shahbag,2
10.04.2020,Showari Ghat,3
10.04.2020,Sonir akhra,1
10.04.2020,Tolarbag,19
10.04.2020,Urdu Road,1
14.04.2020,Adabor,5
14.04.2020,Agargaon,2
14.04.2020,Armanitola,1
14.04.2020,Ashkona,1
14.04.2020,Azimpur,6
14.04.2020,Babu Bazar,11
14.04.2020,Badda,6
14.04.2020,Baily Road,3
14.04.2020,Banani,8
14.04.2020,Bangshal,7
14.04.2020,Banianagar,1
14.04.2020,Basabo,14
14.04.2020,Bashundhora,4
14.04.2020,Begunbari,1
14.04.2020,Beribadh,1
14.04.2020,Bosila,1
14.04.2020,Buet Area,1
14.04.2020,Central Road,1
14.04.2020,Chankharpool,2
14.04.2020,Chawk Bazar,6
14.04.2020,Dhakkeshori,1
14.04.2020,Dhanmondi,16
14.04.2020,Dholaikhal,1
14.04.2020,Doyaganj,1
14.04.2020,Eskaton,1
14.04.2020,Farmgate,1
14.04.2020,Gendaria,12
14.04.2020,Green Road,10
14.04.2020,Gulistan,2
14.04.2020,Gulshan,6
14.04.2020,Hatir jhil,1
14.04.2020,Hatirpool,3
14.04.2020,Hazaribagh,8
14.04.2020,Islampur,2
14.04.2020,Jailgate,2
14.04.2020,Jatrabari,19
14.04.2020,Jigatala,4
14.04.2020,Jurain,1
14.04.2020,Kallyanpur,1
14.04.2020,Kamrangir Char,2
14.04.2020,Kazi para,1
14.04.2020,Khilgaon,1
14.04.2020,Kodomtoli,1
14.04.2020,Kotowali,2
14.04.2020,Kuril,1
14.04.2020,Lalbagh,18
14.04.2020,Laxmibazar,2
14.04.2020,Malibagh,4
14.04.2020,Manikdi,1
14.04.2020,Matuail,1
14.04.2020,Mirhajaribagh,2
14.04.2020,Mirpur-1,6
14.04.2020,Mirpur-6,2
14.04.2020,Mirpur-10,6
14.04.2020,Mirpur-11,11
14.04.2020,Mirpur-12,10
14.04.2020,Mirpur-13,2
14.04.2020,Mirpur-14,5
14.04.2020,Mitford,1
14.04.2020,Mogbazar,10
14.04.2020,Mohakhali,9
14.04.2020,Mohammadpur,17
14.04.2020,Motijeel,1
14.04.2020,Mugda,1
14.04.2020,Nawabpur,1
14.04.2020,Narinda,2
14.04.2020,Nikunja,1
14.04.2020,Pirerbagh,2
14.04.2020,Purana Paltan,2
14.04.2020,Rajarbagh,6
14.04.2020,Rampura,2
14.04.2020,Rayerbagh,1
14.04.2020,Rayerbazar,1
14.04.2020,Sabujbagh,2
14.04.2020,Sayedabad,1
14.04.2020,Shah Ali Bagh,2
14.04.2020,Shahbag,3
14.04.2020,Shakharibazar,0
14.04.2020,Shantibagh,1
14.04.2020,Shampur,1
14.04.2020,Shantinagar,6
14.04.2020,Shaymoli,1
14.04.2020,Showari Ghat,3
14.04.2020,Siddheshwari,1
14.04.2020,Sonir akhra,1
14.04.2020,Sutrapur,6
14.04.2020,Tejgaon,15
14.04.2020,Tolarbag,19
14.04.2020,Urdu Road,1
14.04.2020,Uttara,17
14.04.2020,Vatara,1
14.04.2020,Wari,25
15.04.2020,Adabor,5
15.04.2020,Agargaon,2
15.04.2020,Armanitola,1
15.04.2020,Ashkona,1
15.04.2020,Azimpur,6
15.04.2020,Babu Bazar,11
15.04.2020,Badda,6
15.04.2020,Baily Road,3
15.04.2020,Banani,8
15.04.2020,Bangshal,7
15.04.2020,Banianagar,1
15.04.2020,Basabo,14
15.04.2020,Bashundhora,4
15.04.2020,Begunbari,1
15.04.2020,Begum Bazar,1
15.04.2020,Beribadh,1
15.04.2020,Bokshi Bazar,1
15.04.2020,Bosila,1
15.04.2020,Buet Area,1
15.04.2020,Central Road,1
15.04.2020,Chankharpool,5
15.04.2020,Chawk Bazar,6
15.04.2020,Dhakkeshori,1
15.04.2020,Dhanmondi,18
15.04.2020,Dholaikhal,1
15.04.2020,Doyaganj,1
